Adlard M			Interface
Moorcock M		The Champion of Garathorn
Moorcock M		The Champion of Garathorn
Moorcock M		The Cornelius Chronicles
Moorcock M		The End of All Songs
Moorcock M		The Hollow Lands
Moorcock M		The Ice Schooner
Moorcock M		The Jewel in the Skull
Moorcock M		The King of the Swords
Moorcock M		The Knight of the Swords
Moorcock M		The Land Leviathan
Moorcock M		The Queen of the Swords
Moorcock M		The Quest For Tanelorn
Moorcock M		The Runestaff (History of the Runestaff Vol 4)
Moorcock M		The Shores of Death
Moorcock M		The Shores of Death
Moorcock M		The Singing Citadel
Moorcock M		The Stealer of Souls
Moorcock M		The Stealer of Souls
Moorcock M		The Stealer of Souls
Moorcock M		The Sword of the Dawn (History of the Runestaff Vol 3)
Moorcock M		The Transformation of Miss Mavis Ming
Moorcock M		The Winds of Limbo
Moorcock M (Ed)		Best Stories from New Worlds 2
Moore W			Bring the Jubilee
Moore W			Greener Than You Think
Moskowitz, Elwood (Ed)	Other Worlds, Other Times
Niven L			Inconstant Moon
Niven L			Neutron Star
Niven L			Protector
Niven L			The Flight of the Horse
Niven L			The World of Ptavvs
Niven,Pournelle		Lucifer's Hammer
Norton A			Sorceress of the Witch World
Nourse A E		The Counterfeit Man
Nourse A E		Tiger by the Tail
Pangborn E		A Mirror for Observers
Pangborn E		Davy
Pangborn E		West of the Sun
Piper H B		The Fuzzy Papers
Platt C			Garbage World
Pohl F			Heechee Rendezvous
Pohl F			Jem: The Making Of A Utopia
Pohl F, Kornbluth C	Wolfbane
Pournelle J		Janissaries
Pratchett T		Carpe Jugulum
Priest C			Fugue for a Darkening Island
Rayer F G		Cardinal of the Stars
Roberts K		The Chalk Giants
Roberts K		The Furies
Roberts K		The Furies
Roberts K		The Grain Kings
Roberts K		The Grain Kings
Robinson S		Telempath
Robinson S & J		Stardance
Robinson S & J		Stardance
Robinson S & J		Stardance
Robson J			Natural History
Rowling J K		Harry Potter and the Goblet of Fire
Rowling J K		Harry Potter and the Philosopher's Stone
Rucker R			White Light
Russ J			And Chaos Died
Russell E F		The Great Explosion
Russell E F		Wasp
Saberhagen F		Changling Earth (Empire of the East Bk 3)
Saberhagen F		The Black Mountains (Empire of the East Vol 2)
Shaw B			Night Walk
Shaw B			One Million Tomorrows
Shaw B			Orbitsville
Shaw B			Other Days, Other Eyes
